;Values;Average_difference;Average_value;Std_values;videoid;channel
2;Saturation;0.2290424230259389;63.12043281073624;9.915757529298528;14;BabyChaCha
0;Hue;1.5587981590999143;247.17224158456068;73.15845372369027;15;BabyChaCha
1;Lightness;0.2621477660371078;57.18732031689444;11.126719162624994;15;BabyChaCha
2;Saturation;0.2884294787221819;55.16138900376312;10.712922613435568;15;BabyChaCha
0;Hue;1.2262061488908707;291.95460356345666;52.918806869199834;16;BabyChaCha
1;Lightness;0.19062033754870022;59.44200438213144;8.668051861818066;16;BabyChaCha
2;Saturation;0.2915390001277383;59.709765312516204;11.3277595960589;16;BabyChaCha
0;Hue;1.3984609472298324;300.5444413407821;53.13246276796263;17;BabyChaCha
1;Lightness;0.21627332565486682;58.53505655752867;8.75862560292405;17;BabyChaCha
2;Saturation;0.28147396953591525;65.93831036810951;10.982371181691828;17;BabyChaCha
0;Hue;1.4380997826626023;258.3022743948588;80.7695946086648;18;BabyChaCha
1;Lightness;0.2800935135411867;56.85940082198371;16.04238399205447;18;BabyChaCha
2;Saturation;0.3622875339169611;56.024075954161354;15.7662342950322;18;BabyChaCha
0;Hue;1.3357420908052724;326.22662035860253;55.53906597429518;19;BabyChaCha
1;Lightness;0.22824059028153923;64.0523726292481;10.329353194262156;19;BabyChaCha
2;Saturation;0.29505073484273997;62.80364220499984;11.480092893375755;19;BabyChaCha
0;Hue;1.0810275680076364;300.3647627516861;64.48325000484252;20;BabyChaCha
1;Lightness;0.16508560777744943;61.641807870227844;9.061694122078599;20;BabyChaCha
2;Saturation;0.19963048083555027;62.1600835785853;10.506917100446655;20;BabyChaCha
0;Hue;0.7111403720141805;335.8884291151571;56.21142380683115;1;Bebefinn
1;Lightness;0.13694307648018422;61.23723952526696;12.080879635505815;1;Bebefinn
2;Saturation;0.10056058599622571;71.86829271366025;11.002536540081806;1;Bebefinn
0;Hue;1.161947465841018;284.0201136460716;84.66624502122059;2;Bebefinn
1;Lightness;0.18848265611465465;65.85189326404814;13.352427088936736;2;Bebefinn
2;Saturation;0.19512682100952833;72.59960981802793;12.73507274939922;2;Bebefinn
0;Hue;0.9900815240544996;252.8520690751404;63.976031675676076;3;Bebefinn
1;Lightness;0.23461280544192098;66.72882942179429;11.054737692863212;3;Bebefinn
2;Saturation;0.17068743123148558;74.82403319166541;8.899898788583934;3;Bebefinn
0;Hue;1.0651318660961417;229.36103528732406;84.4271709078139;4;Bebefinn
1;Lightness;0.1800128764119432;58.09959750544131;13.877608621721944;4;Bebefinn
2;Saturation;0.17049359366633515;66.56724715824896;13.763967334146042;4;Bebefinn
0;Hue;0.9994426993355947;283.3750593269107;67.40010124133588;5;Bebefinn
1;Lightness;0.20307472630853193;65.3754409751415;11.788901104016546;5;Bebefinn
2;Saturation;0.16415962060144468;76.69603067933268;9.64870767908424;5;Bebefinn
0;Hue;1.0049306521046766;290.0258998013914;80.81523120326013;6;Bebefinn
1;Lightness;0.1617861586499094;69.96080532115826;10.739624747538198;6;Bebefinn
2;Saturation;0.15929413803296405;78.25686614895439;12.369477786473105;6;Bebefinn
0;Hue;1.6024918715131053;235.9712464299484;83.15903000820127;7;Bebefinn
1;Lightness;0.34077473371348205;65.41058046777574;11.93480042841176;7;Bebefinn
2;Saturation;0.27932961809321927;71.25689088991483;13.437121898575702;7;Bebefinn
0;Hue;0.9231682176328451;303.6926915815835;58.090998791053735;8;Bebefinn
1;Lightness;0.16466720630074025;69.97499850431291;9.14673042200832;8;Bebefinn
2;Saturation;0.10370641857160921;83.576595399567;6.591555069365247;8;Bebefinn
0;Hue;1.2291700225717979;283.08464908110193;67.91686061581612;9;Bebefinn
