frame_number;scene_change_boolean;all_frames;half_half_second;half_second;per_second;two_seconds
0;0;;;;;
1;0;0.04202762281935673;;;;
2;0;0.03819284390067296;;;;
3;0;0.0034763569818258076;;;;
4;0;0.03225552078603964;;;;
5;0;0.02422202056019853;;;;
6;0;0.0001;0.05601753385353186;;;
7;0;0.017300098199204732;;;;
8;0;0.08698907332567063;;;;
9;0;0.5408245851641397;;;;
10;0;6.284779569676517;;;;
11;0;16.536709279496005;;;;
12;0;28.13900036590402;19.67019488582895;19.695841211269062;;
13;0;33.39840737138066;;;;
14;0;35.155210965059;;;;
15;0;36.41534810461997;;;;
16;0;36.11989970271399;;;;
17;0;32.128373132688075;;;;
18;0;20.782181418984198;28.763691302259655;;;
19;0;19.65830237961978;;;;
20;0;22.59476648748463;;;;
21;0;22.50924615679496;;;;
22;0;19.20914665267829;;;;
23;0;11.507910490043084;;;;
24;0;1.1096890070385819;54.26459983322395;64.95596424822854;61.567563357996484;
25;0;0.7199253661651794;;;;
26;0;1.239348057611069;;;;
27;0;1.2730809086072294;;;;
28;0;1.2313060548961838;;;;
29;0;1.0326784792180412;;;;
30;0;0.9834317391952337;6.0392134776717645;;;
31;0;0.22664704460320828;;;;
32;0;0.05984991226841808;;;;
33;0;0.0826056077236078;;;;
34;0;0.06018642785754736;;;;
35;0;0.08074303578198726;;;;
36;0;0.09717081333034061;0.4615153823900165;6.314784211895682;;
37;0;0.10011418100055375;;;;
38;0;5.260425373359297;;;;
39;0;14.40994242408925;;;;
40;0;21.40115529324456;;;;
41;0;37.38924100262325;;;;
42;0;48.78302444458685;54.895610356390975;;;
43;0;54.262519728466785;;;;
44;0;59.92416994178083;;;;
45;0;49.4564039900332;;;;
46;0;31.36431757216276;;;;
47;0;35.79706082904004;;;;
48;0;37.62724246382711;91.5860828464516;91.61373520843273;92.38001783724974;60.158456577557814
49;0;38.21834097284087;;;;
50;0;33.84824878117419;;;;
51;0;34.97603801766658;;;;
52;0;34.502052259609414;;;;
53;0;44.05727461281835;;;;
54;0;64.34657365693283;110.33914655215099;;;
55;1;74.15449135822142;;;;
56;1;72.4166120362088;;;;
57;0;66.8455903441902;;;;
58;0;62.915327409308695;;;;
59;0;58.79983478224526;;;;
60;0;44.703291221195485;163.61223865400265;181.7382066657052;;
61;0;23.297149403515846;;;;
62;0;12.618223451818531;;;;
63;0;16.803122912855887;;;;
64;0;30.048121546370744;;;;
65;0;30.997532173300534;;;;
66;0;22.0085983577103;81.38784058116902;;;
67;0;14.839133711394236;;;;
68;0;17.413724136886742;;;;
69;0;17.04099317778676;;;;
70;0;14.789632773295866;;;;
71;0;15.217328170227379;;;;
72;0;16.923447085539078;62.588513261802156;108.84634732224278;200.42825127070685;
73;0;18.951919160412096;;;;
74;0;20.045723286514093;;;;
75;0;22.341442624449005;;;;
76;0;23.308727010152726;;;;
77;0;22.297553602862415;;;;
78;0;19.941125104928663;48.307791418595734;;;
79;0;19.020337638664515;;;;
80;0;19.085195587013175;;;;
81;0;17.94836385915623;;;;
82;0;13.462072912458549;;;;
83;0;9.206632988793478;;;;
84;0;9.055593273016697;28.369875977538346;57.82713112435588;;
85;0;9.44420734670385;;;;
86;0;9.951108059434587;;;;
87;0;9.887293911071126;;;;
88;0;9.032650353099719;;;;
89;0;9.278168014069154;;;;
90;0;11.25924268289721;17.49361074659842;;;
91;0;16.361033498731295;;;;
92;0;19.48319611427437;;;;
93;0;20.868484502718744;;;;
94;0;19.97271794024249;;;;
95;0;19.203119245593516;;;;
96;0;21.60977277063017;30.500345186767262;32.2494586388307;67.05943137490671;209.91243055263348
97;0;23.334390931267766;;;;
98;0;25.20171478676851;;;;
99;0;27.062612629237456;;;;
100;0;29.474972613556265;;;;
101;0;26.242151273509894;;;;
102;0;20.767929738256733;54.175399535064955;;;
103;0;21.07602702227174;;;;
104;0;20.89214805983907;;;;
105;0;19.26108111640602;;;;
106;0;16.545269189663422;;;;
107;0;15.002041014747501;;;;
108;0;14.227764663583745;30.786460218617705;55.66742723912446;;
109;0;11.2069046874591;;;;
110;0;9.584561307084787;;;;
111;0;7.258422348148147;;;;
112;0;6.831167796543079;;;;
113;0;6.583947007424122;;;;
114;0;6.951484555141261;19.195283126799257;;;
115;0;8.459603914638597;;;;
116;0;9.957357476871815;;;;
117;0;10.105747128015647;;;;
118;0;8.153837913763562;;;;
119;0;4.727177361933054;;;;
120;0;3.1604884909938074;22.635368409090784;33.050070775484066;56.68876013844946;
121;0;2.5311838609498065;;;;
122;0;1.7827636057758254;;;;
123;0;1.1574309568023895;;;;
124;0;0.7183239687333872;;;;
125;0;0.2742412649949201;;;;
126;0;1.2742993158095368;6.034632593125879;;;
127;0;2.303110834553447;;;;
128;0;2.253076620476647;;;;
129;0;2.4226783003670356;;;;
130;0;4.545489344149903;;;;
131;0;3.250657138267881;;;;
132;0;3.4817858202604244;6.794864519997937;10.465572231483586;;
133;0;4.143425023892312;;;;
134;0;4.260917777214518;;;;
135;0;3.8164416440888234;;;;
136;0;4.527561489491668;;;;
137;0;3.39899027929418;;;;
138;0;3.4725546010651365;12.340902788389199;;;
139;0;3.803839978481408;;;;
140;0;3.6023351019715664;;;;
141;0;3.2579217883513327;;;;
142;0;2.9259784412506717;;;;
143;0;3.2169250448571436;;;;
144;0;3.1126303669157105;10.222121796669184;18.312668594379016;20.33978554217743;53.084855253709286
145;0;2.4624819342661284;;;;
146;0;2.2809147310531963;;;;
147;0;1.965183653659959;;;;
148;0;1.241821153633276;;;;
149;0;0.9733211683366356;;;;
150;0;3.793605227579959;7.033468938108719;;;
151;0;13.748888902342381;;;;
152;0;22.593352099850026;;;;
153;0;47.31545130533607;;;;
154;1;73.9867821369759;;;;
155;1;79.89573384316212;;;;
156;0;65.67051032523806;48.19516658319137;47.333110074572296;;
157;0;49.64351103534176;;;;
158;0;30.760811732634785;;;;
159;0;22.427341969224422;;;;
160;0;19.66620752952494;;;;
161;0;12.815541898508167;;;;
162;0;9.92233139859689;57.27905974084884;;;
163;0;10.417001775087222;;;;
164;0;6.5716219440523025;;;;
165;0;6.478010235040164;;;;
166;0;8.935704178631632;;;;
167;0;11.868788549331256;;;;
168;0;10.967728590249862;35.0094846694116;56.857536709830185;27.07245232029579;
169;0;9.083930132778992;;;;
170;0;6.308820738340106;;;;
171;0;5.3572624429891915;;;;
172;0;3.814375913180101;;;;
173;0;3.6383317839249285;;;;
174;0;3.230433958893382;20.03496202259834;;;
175;0;2.6470301737889628;;;;
176;0;3.1881304868294387;;;;
177;0;4.9105657090633965;;;;
178;0;4.15679843495508;;;;
179;0;3.464515258273637;;;;
180;0;3.239420916234994;12.007884235435764;15.67048719640305;;
181;0;2.991797351630736;;;;
182;0;4.464909244452632;;;;
183;0;6.818506751372545;;;;
184;0;6.958532083916446;;;;
185;0;6.389723294134301;;;;
186;0;7.4665176827098305;12.130592769196259;;;
187;0;9.080449497327502;;;;
188;0;7.68627369456063;;;;
189;0;5.980648353164369;;;;
190;0;4.771353458144628;;;;
191;0;5.410798439341107;;;;
192;0;3.331026911186527;11.333135245964659;8.15653077528349;15.2393166550544;23.848947690942815
193;0;1.771437450652604;;;;
194;0;1.4553926714477878;;;;
195;0;0.4425069540176688;;;;
196;0;0.4301355830882093;;;;
197;0;0.6888049695709538;;;;
198;0;0.7551385909076693;1.691967591015201;;;
199;0;25.053255941180286;;;;
200;0;27.821494455234678;;;;
201;0;27.056834472011786;;;;
202;0;25.435532579292385;;;;
203;0;27.50982795845868;;;;
