;type;num_scene_changes;difference;std_count;scene_changes_per_min;time_interval;videoid;channel
22;half_second;57;0;13.9032370331517;9.38032973280273;6.24727272727273;5;BabyChaCha
23;per_second;51;6;13.9032370331517;9.38032973280273;6.24727272727273;5;BabyChaCha
24;two_seconds;41;16;13.9032370331517;9.38032973280273;6.24727272727273;5;BabyChaCha
25;all_frames;40;57;23.5308308395603;13.18391562294;4.461;6;BabyChaCha
26;half_half_second;93;4;23.5308308395603;13.18391562294;4.461;6;BabyChaCha
27;half_second;97;0;23.5308308395603;13.18391562294;4.461;6;BabyChaCha
28;per_second;79;18;23.5308308395603;13.18391562294;4.461;6;BabyChaCha
29;two_seconds;62;35;23.5308308395603;13.18391562294;4.461;6;BabyChaCha
30;all_frames;68;106;44.9310583004674;16.5853658536585;3.55529411764706;7;BabyChaCha
31;half_half_second;174;0;44.9310583004674;16.5853658536585;3.55529411764706;7;BabyChaCha
32;half_second;166;8;44.9310583004674;16.5853658536585;3.55529411764706;7;BabyChaCha
33;per_second;140;34;44.9310583004674;16.5853658536585;3.55529411764706;7;BabyChaCha
34;two_seconds;100;74;44.9310583004674;16.5853658536585;3.55529411764706;7;BabyChaCha
35;all_frames;37;45;18.1383571472171;13.258480649785;4.42594594594595;8;BabyChaCha
36;half_half_second;82;0;18.1383571472171;13.258480649785;4.42594594594595;8;BabyChaCha
37;half_second;79;3;18.1383571472171;13.258480649785;4.42594594594595;8;BabyChaCha
38;per_second;71;11;18.1383571472171;13.258480649785;4.42594594594595;8;BabyChaCha
39;two_seconds;61;21;18.1383571472171;13.258480649785;4.42594594594595;8;BabyChaCha
40;all_frames;21;42;15.8996855314814;7.40305522914219;7.25333333333333;9;BabyChaCha
41;half_half_second;51;12;15.8996855314814;7.40305522914219;7.25333333333333;9;BabyChaCha
42;half_second;63;0;15.8996855314814;7.40305522914219;7.25333333333333;9;BabyChaCha
43;per_second;54;9;15.8996855314814;7.40305522914219;7.25333333333333;9;BabyChaCha
44;two_seconds;43;20;15.8996855314814;7.40305522914219;7.25333333333333;9;BabyChaCha
45;all_frames;45;68;26.7544388840432;14.6420824295011;4.01777777777778;10;BabyChaCha
46;half_half_second;98;15;26.7544388840432;14.6420824295011;4.01777777777778;10;BabyChaCha
47;half_second;113;0;26.7544388840432;14.6420824295011;4.01777777777778;10;BabyChaCha
48;per_second;93;20;26.7544388840432;14.6420824295011;4.01777777777778;10;BabyChaCha
49;two_seconds;69;44;26.7544388840432;14.6420824295011;4.01777777777778;10;BabyChaCha
50;all_frames;23;60;24.1288209409411;9.29167788849987;5.72;11;BabyChaCha
51;half_half_second;83;0;24.1288209409411;9.29167788849987;5.72;11;BabyChaCha
52;half_second;80;3;24.1288209409411;9.29167788849987;5.72;11;BabyChaCha
53;per_second;63;20;24.1288209409411;9.29167788849987;5.72;11;BabyChaCha
54;two_seconds;55;28;24.1288209409411;9.29167788849987;5.72;11;BabyChaCha
55;all_frames;42;54;22.7596133534821;12.6658624849216;4.67428571428571;12;BabyChaCha
56;half_half_second;93;3;22.7596133534821;12.6658624849216;4.67428571428571;12;BabyChaCha
57;half_second;96;0;22.7596133534821;12.6658624849216;4.67428571428571;12;BabyChaCha
58;per_second;92;4;22.7596133534821;12.6658624849216;4.67428571428571;12;BabyChaCha
