frame_number;scene_change_boolean;all_frames;half_half_second;half_second;per_second;two_seconds
0;0;;;;;
1;0;5.012591998951568;;;;
2;0;2.887668794642337;;;;
3;0;4.4994315157320965;;;;
4;0;3.448948833497028;;;;
5;0;4.961201654034317;;;;
6;0;5.050447393448482;11.0380536803489;;;
7;0;7.251917489094731;;;;
8;0;6.995113161333972;;;;
9;0;5.652877184074679;;;;
10;0;6.098737847660874;;;;
11;0;7.7128972989863875;;;;
12;0;8.394347365615928;11.654641446908805;12.548936407305838;;
13;0;5.703913496460642;;;;
14;0;7.572885122955224;;;;
15;0;7.361991631534864;;;;
16;0;6.681026944311177;;;;
17;0;6.613712946703982;;;;
18;0;4.53931685536469;17.24008528155345;;;
19;0;5.662513526499024;;;;
20;0;6.124469278561448;;;;
21;0;6.897771106236763;;;;
22;0;7.26596451541024;;;;
23;0;7.194850230852267;;;;
24;0;7.5248186179011;13.997198484576371;17.75922052030193;;
25;0;5.498895232664057;;;21.483724049873864;
26;0;7.681386383533931;;;;
27;0;9.088897229406216;;;;
28;0;9.281042970611313;;;;
29;0;6.964232641195277;;;;
30;0;6.021241396712559;15.986652762811808;;;
31;0;7.679457096277876;;;;
32;0;9.49155634339181;;;;
33;0;8.980537303188003;;;;
34;0;6.113257879068688;;;;
35;0;7.988040650174611;;;;
36;0;7.650457087246266;16.639232946236017;12.986784935352233;;
37;0;6.05369486260493;;;;
38;0;4.427388611591363;;;;
39;0;7.053528817239827;;;;
40;0;7.487842464749314;;;;
41;0;6.8346639956586515;;;;
42;0;5.971113087344999;12.013351608834064;;;
43;0;7.6299334559792875;;;;
44;0;7.711182000335577;;;;
45;0;5.488786691489217;;;;
46;0;5.630327793310402;;;;
47;0;7.561275619215054;;;;
48;0;7.389941164853902;9.613249194490388;14.976691331069867;;
49;0;31.585297246746958;;;;
50;0;31.785223228250146;;;39.465085962589704;36.94150618282157
51;0;29.81955378922856;;;;
52;0;21.60001548729333;;;;
53;0;13.82780252129673;;;;
54;0;14.385085728075564;46.98144381739926;;;
55;0;8.231587850459018;;;;
56;0;4.526516775736857;;;;
57;0;1.4931926288130375;;;;
58;0;0.023778350777463;;;;
59;0;1.3281043794203555;;;;
60;0;2.0024147988321546;9.935375088795249;48.16212001367046;;
61;0;0.6370094840275023;;;;
62;0;0.5742086030702799;;;;
63;0;0.005054247480900603;;;;
64;0;0.017840766729136044;;;;
65;0;0.0037899494936611674;;;;
66;0;0.0017828427124746192;1.1699660524741513;;;
67;0;0.002106449510224598;;;;
68;0;0.0005414213562373094;;;;
69;0;0.0030739356189571692;;;;
70;0;0.000282842712474619;;;;
71;0;0.0;;;;
72;0;0.0006;0.006407519544972753;1.1737087273286453;;
73;0;0.0;;;;
74;0;0.0;;;;
75;0;0.001182842712474619;;;41.6796167306691;
76;0;0.0;;;;
77;0;0.0;;;;
78;0;0.0006146264369941973;0.0017974691494688166;;;
79;0;0.0;;;;
80;0;0.0;;;;
81;0;0.0;;;;
82;0;0.0;;;;
83;0;0.0;;;;
84;0;0.0001;0.0001;0.0018974691494688166;;
85;0;0.0;;;;
86;0;0.0;;;;
87;0;0.0;;;;
88;0;0.0;;;;
89;1;113.31130852549454;;;;
90;0;0.12594909940591417;113.22646023112492;;;
91;0;1.4364263722750508;;;;
92;0;3.385700502657008;;;;
93;0;3.1863370629490393;;;;
94;0;3.0244618429854135;;;;
95;0;3.205962662227528;;;;
96;0;2.2494378276821827;8.429699081387659;107.5958465137321;;
97;0;6.839944576881557;;;;
